instance_name,hollowness
cup_8_4,0.957290721243496
bowl_10_4,0.7002281027986592
sponge_10_1,0
plate_4_6,0.8167217921725883
cup_6_9,0.8977874626534206
book_3_3,0
paper_box_6_4,0
plate_10_7,0.8718433371283559
tray_9_8,0
plate_2_1,0.7435889001770528
plastic_box_5_7,0
plate_8_2,0.8770815022708323
plastic_box_6_6,0
tray_5_3,0
sponge_8_2,0
ball_2_10,0
sponge_9_5,0
cup_9_7,0.8893835871095492
book_5_7,0
cup_2_5,0.9734512769398834
plastic_box_4_4,0
metal_box_5_8,0
book_7_4,0
tray_9_2,0
plastic_box_9_7,0
sponge_2_5,0
sponge_6_8,0
paper_box_5_7,0
metal_box_9_4,0
tray_7_8,0
sponge_9_9,0
bowl_2_4,0.9574751532451287
plate_1_1,0.8366207413276817
sponge_2_10,0
bowl_1_5,0.8864896868070627
cup_10_10,0.8829664553799546
plastic_box_3_9,0
book_6_5,0
ball_8_10,0
sponge_2_1,0
plate_9_4,0.9452745716177903
plastic_box_3_10,0
bowl_6_2,0.8520359410830844
tray_3_3,0
plastic_box_2_3,0
metal_box_6_3,0
plastic_box_3_5,0
ball_7_6,0
cup_1_10,0.8967203443068543
tray_1_1,0
sponge_6_4,0
plate_10_8,0.8537960822407226
tray_10_9,0
ball_7_7,0
paper_box_1_6,0
paper_box_4_9,0
sponge_3_4,0
plate_2_2,0.7265483172679323
to_go_cup_4_9,0
plate_2_7,0.7479022336557898
ball_3_9,0
paper_box_6_1,0
tray_5_9,0
book_6_6,0
plastic_box_8_2,0
sponge_7_10,0
cup_1_6,0.899101409743449
paper_box_4_8,0
cup_2_4,0.9734512769398834
plastic_box_8_1,0
cup_5_8,0.9995899647504755
to_go_cup_7_10,0.9877027662745087
paper_box_5_1,0.1327802951305659
ball_2_8,0
plastic_box_5_5,0
plastic_box_3_1,0
book_4_6,0
to_go_cup_9_3,0.9900582711947002
bowl_3_1,0.799468257048866
to_go_cup_5_1,0.9995901913192821
bowl_9_4,0.9311076483018611
paper_box_5_8,0
ball_8_8,0
paper_box_1_5,0
sponge_8_10,0
book_2_4,0
metal_box_8_7,0
paper_box_7_3,0
metal_box_2_6,0
tray_4_7,0
sponge_7_4,0
plastic_box_6_9,0
paper_box_3_6,0
plastic_box_6_8,0
plastic_box_2_2,0
plastic_box_8_10,0
ball_8_5,0
tray_1_9,0
paper_box_1_3,0
ball_10_9,0
plastic_box_5_9,0
plate_5_6,0.7939698336152
bowl_1_10,0.8841203494489502
paper_box_2_8,0
sponge_4_5,0
cup_6_3,0.8975791277637749
plastic_box_8_7,0
to_go_cup_10_9,0.793220105545913
bowl_7_1,0.936143145205923
paper_box_2_4,0
paper_box_10_2,0
ball_3_5,0
ball_6_1,-0.1521087736142561
metal_box_5_6,0
