instance_name,flatness,rigidity,length,width,height
tray_10_10,0.9163860428458838,0.1770298043271967,0.6221338068884694,1,0.09541292009581064
plate_2_2,0,0.2604965957482971,0.9345559582424836,1,0.1197622748266037
tray_7_8,0.9028403731265067,0.3325380821022504,0.5661208817511828,1,0.07888132082561652
to_go_cup_3_3,0,0.04665359300862875,0.8671989580203268,0.7957008423256594,1
plastic_box_9_2,0.5663793103448276,0.160188125027692,0.8875643924415257,1,0.5632568427150737
book_7_6,0.9970809648179444,0.6469459914999626,0.6765762479857383,1,0.06638242408565946
cup_10_1,0,0.1002437749938948,0.7635882803934936,1,0.7250755487128308
paper_box_9_9,0.1624542997933556,0.01943145120183282,0.3451274146636998,0.6824603707736117,1
plastic_box_6_5,0.704191616766467,0.2465895968563268,1,0.9520822345777222,0.3994085636480963
plate_8_3,0.5713796644984594,0.2390650494903946,0.9641850715710288,1,0.2050590127264716
metal_box_10_8,0.718534253850239,0.22005554451664,0.967379432519913,1,0.2991380993386488
plastic_box_3_10,0.2380806377433696,0.03304503319935668,0.408454379074514,0.7087345220721204,1
plate_4_4,0,0.3741081040749443,0.956374042784022,1,0.1475844166060681
ball_7_7,0,0.07975884093340925,0.5991342920983187,1,0.8879965403219717
cup_4_8,0,0.08439038153153439,0.556698053796127,0.673869336692059,1
ball_9_10,0,0.1832583177483557,0.8008091453678036,1,0.9561626006851812
sponge_6_8,0.677815699658703,0.8520456665974913,0.7006005585268197,1,0.4442043829269908
book_2_1,0.8694547586476451,0.1553748678460916,1,0.6960388706894368,0.1978967291780822
to_go_cup_10_8,0,0.1017722452067388,0.9100478563514741,0.9146075762389382,1
to_go_cup_8_8,0,0.04743232453534189,0.6133495944706892,0.5851847902676897,1
ball_4_2,0,0.3283498746864084,0.5097176249474982,1,0.8023332901739654
plate_3_6,0,0.3679601907954563,0.9766560131665699,1,0.1012125487812323
cup_4_1,0,0.09640937687541,0.5595743640402596,0.6813027613480263,1
bowl_1_10,0,0.1776274360033869,0.5785217050662698,1,0.4446988384003959
